Campus,Group,School / Department,Level,Date,Number of Applications,Number of Acceptances,Number of Registrations,Month,Year,Main Level
Buckingham,Non Foundation (1+2) and Non Foundation,Centre for Foundation Studies,Non Degree Leading to Postgraduate Taught,Sep 2022,4.0,0.0,0.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Research,Sep 2022,45.0,4.0,4.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Taught,Sep 2022,192.0,14.0,14.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Undergraduate,Sep 2022,222.0,29.0,29.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Postgraduate Research,Sep 2022,15.0,3.0,3.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Undergraduate,Sep 2022,72.0,10.0,10.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Occassional Non Degree,Sep 2022,29.0,21.0,21.0,Sep,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Research,Sep 2022,79.0,36.0,36.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Taught,Sep 2022,0.0,0.0,0.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Undergraduate,Sep 2022,12.0,1.0,0.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Research,Sep 2022,18.0,1.0,1.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Taught,Sep 2022,49.0,3.0,3.0,Sep,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Undergraduate,Sep 2022,188.0,21.0,19.0,Sep,2022,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Research,Sep 2021,0.0,0.0,0.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Postgraduate Taught,Sep 2021,37.0,3.0,3.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Accounting and Finance,Undergraduate,Sep 2021,69.0,5.0,5.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Postgraduate Research,Sep 2021,22.0,5.0,5.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,English and Digital Media,Undergraduate,Sep 2021,78.0,10.0,8.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Research,Sep 2021,19.0,7.0,7.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Postgraduate Taught,Sep 2021,20.0,11.0,11.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,History and History of Art,Undergraduate,Sep 2021,48.0,2.0,2.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Occassional Non Degree,Sep 2021,31.0,14.0,14.0,Sep,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Research,Sep 2021,98.0,48.0,48.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Taught,Sep 2021,1.0,0.0,0.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Occassional Non Degree,Sep 2021,0.0,0.0,0.0,Sep,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Research,Sep 2021,12.0,1.0,1.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Postgraduate Taught,Sep 2021,174.0,8.0,7.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Undergraduate,Sep 2021,231.0,14.0,14.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Management,Visiting Students Non Degree,Sep 2021,0.0,0.0,0.0,Sep,2021,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Non Degree Apprentice,Sep 2021,22.0,22.0,22.0,Sep,2021,Apprenticeship
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Sep 2021,13.0,0.0,0.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Sep 2021,41.0,1.0,1.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Sep 2021,144.0,10.0,10.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Research,Sep 2021,7.0,1.0,1.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Postgraduate Taught,Sep 2021,25.0,0.0,0.0,Sep,2021,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Law,Undergraduate,Sep 2021,337.0,55.0,52.0,Sep,2021,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Centre for Foundation Studies,Non Degree Leading to Postgraduate Taught,Sep 2020,6.0,2.0,2.0,Sep,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Postgraduate Taught,Sep 2020,4.0,0.0,0.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Undergraduate,Sep 2020,36.0,5.0,5.0,Sep,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Non Degree Apprentice,Sep 2020,14.0,13.0,13.0,Sep,2020,Apprenticeship
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Sep 2020,19.0,1.0,1.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Sep 2020,56.0,4.0,3.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Sep 2020,161.0,10.0,10.0,Sep,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Occassional Non Degree,Sep 2020,39.0,17.0,17.0,Sep,2020,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Research,Sep 2020,11.0,8.0,8.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Taught,Sep 2020,1060.0,831.0,831.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Research,Sep 2020,28.0,5.0,5.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Postgraduate Taught,Sep 2020,38.0,6.0,5.0,Sep,2020,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Psychology,Undergraduate,Sep 2020,185.0,47.0,46.0,Sep,2020,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Postgraduate Taught,Sep 2019,0.0,0.0,0.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Enterprise and Entrepreneurship,Undergraduate,Sep 2019,41.0,6.0,6.0,Sep,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Occassional Non Degree,Sep 2019,24.0,13.0,13.0,Sep,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Research,Sep 2019,96.0,52.0,52.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,London,Postgraduate Taught,Sep 2019,18.0,14.0,14.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Modern Foreign Languages,Undergraduate,Sep 2019,2.0,0.0,0.0,Sep,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Non Degree Apprentice,Sep 2019,48.0,47.0,47.0,Sep,2019,Apprenticeship
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Research,Sep 2019,12.0,3.0,3.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Postgraduate Taught,Sep 2019,16.0,0.0,0.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Computing,Undergraduate,Sep 2019,107.0,18.0,18.0,Sep,2019,Undergraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Occassional Non Degree,Sep 2019,50.0,24.0,24.0,Sep,2019,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Research,Sep 2019,12.0,9.0,9.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of Education,Postgraduate Taught,Sep 2019,964.0,789.0,789.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Research,Sep 2019,0.0,0.0,0.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,School of PG Medicine,Postgraduate Taught,Sep 2019,41.0,1.0,1.0,Sep,2019,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Buckingham Enterprise and Innovation Unit,Postgraduate Taught,Jan 2022,21.0,0.0,0.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Occassional Non Degree,Jan 2022,0.0,0.0,0.0,Jan,2022,Non Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Research,Jan 2022,24.0,4.0,4.0,Jan,2022,Postgraduate Degree
Buckingham,Non Foundation (1+2) and Non Foundation,Economics and International Studies,Postgraduate Taught,Jan 2022,141.0,18.0,18.0,Jan,2022,Postgraduate Degree
